train_loss, test_loss
1.6772, 1.2736
1.0906, 0.9723
0.8899, 0.8427
0.7917, 0.7707
0.7327, 0.7242
0.6924, 0.6908
0.6623, 0.6651
0.6385, 0.6444
0.6189, 0.6272
0.6023, 0.6125
0.5881, 0.5999
0.5756, 0.5889
0.5647, 0.5792
0.5550, 0.5706
0.5463, 0.5630
0.5385, 0.5561
0.5314, 0.5500
0.5250, 0.5443
0.5191, 0.5392
0.5137, 0.5345
0.5087, 0.5302
0.5040, 0.5262
0.4997, 0.5225
0.4957, 0.5190
0.4919, 0.5158
0.4883, 0.5127
0.4850, 0.5098
0.4818, 0.5071
0.4788, 0.5045
0.4759, 0.5020
0.4732, 0.4997
0.4706, 0.4975
0.4681, 0.4953
0.4657, 0.4933
0.4634, 0.4913
0.4612, 0.4895
0.4591, 0.4876
0.4571, 0.4859
0.4551, 0.4842
0.4532, 0.4826
0.4514, 0.4810
0.4496, 0.4795
0.4479, 0.4781
0.4462, 0.4767
0.4446, 0.4753
0.4431, 0.4739
0.4415, 0.4726
0.4401, 0.4714
0.4386, 0.4702
0.4372, 0.4690
