train_loss, test_loss
0.8477, 0.6218
0.5575, 0.5414
0.5016, 0.5076
0.4729, 0.4878
0.4544, 0.4740
0.4407, 0.4636
0.4299, 0.4553
0.4209, 0.4482
0.4131, 0.4421
0.4062, 0.4367
0.4000, 0.4319
0.3943, 0.4274
0.3890, 0.4233
0.3840, 0.4195
0.3794, 0.4160
0.3750, 0.4127
0.3709, 0.4097
0.3670, 0.4068
0.3633, 0.4041
0.3597, 0.4016
0.3563, 0.3992
0.3530, 0.3970
0.3499, 0.3948
0.3468, 0.3928
0.3439, 0.3908
0.3410, 0.3889
0.3383, 0.3871
0.3356, 0.3854
0.3330, 0.3837
0.3304, 0.3821
0.3280, 0.3806
0.3255, 0.3791
0.3232, 0.3776
0.3209, 0.3762
0.3186, 0.3748
0.3164, 0.3735
0.3142, 0.3722
0.3121, 0.3709
0.3100, 0.3696
0.3079, 0.3684
0.3059, 0.3673
0.3039, 0.3661
0.3019, 0.3650
0.3000, 0.3639
0.2981, 0.3628
0.2962, 0.3618
0.2944, 0.3608
0.2926, 0.3598
0.2908, 0.3589
0.2890, 0.3579
