0.00,93.0,76.29
0.01,93.0,76.29
0.02,93.0,76.29
0.03,92.5,76.29
0.04,92.0,77.32
0.05,92.0,77.32
0.06,92.0,77.32
0.07,92.0,77.32
0.08,90.5,76.29
0.09,90.5,76.29
0.10,90.5,76.29
0.11,90.5,76.29
0.12,90.5,76.29
0.13,86.0,75.26
0.14,86.0,75.26
0.15,86.0,75.26
0.16,86.0,75.26
0.17,78.5,72.16
0.18,78.5,72.16
0.19,78.5,72.16
0.20,78.5,72.16
0.21,78.5,72.16
0.22,78.5,72.16
0.23,78.5,72.16
0.24,78.5,72.16
0.25,51.0,59.79
0.26,51.0,59.79
0.27,51.0,59.79
0.28,51.0,59.79
0.29,51.0,59.79
0.30,51.0,59.79
0.31,51.0,59.79
0.32,51.0,59.79
0.33,51.0,59.79
0.34,51.0,59.79
0.35,51.0,59.79
0.36,51.0,59.79
0.37,51.0,59.79
0.38,51.0,59.79
0.39,51.0,59.79
0.40,51.0,59.79
0.41,51.0,59.79
0.42,51.0,59.79
0.43,51.0,59.79
0.44,51.0,59.79
0.45,51.0,59.79
0.46,51.0,59.79
0.47,51.0,59.79
0.48,51.0,59.79
0.49,51.0,59.79
0.50,51.0,59.79
0.51,51.0,59.79
0.52,51.0,59.79
0.53,51.0,59.79
0.54,51.0,59.79
0.55,51.0,59.79
0.56,51.0,59.79
0.57,51.0,59.79
0.58,51.0,59.79
0.59,51.0,59.79
0.60,51.0,59.79
0.61,51.0,59.79
0.62,51.0,59.79
0.63,51.0,59.79
0.64,51.0,59.79
0.65,51.0,59.79
0.66,51.0,59.79
0.67,51.0,59.79
0.68,51.0,59.79
0.69,51.0,59.79
0.70,51.0,59.79
0.71,51.0,59.79
0.72,51.0,59.79
0.73,51.0,59.79
0.74,51.0,59.79
0.75,51.0,59.79
0.76,51.0,59.79
0.77,51.0,59.79
0.78,51.0,59.79
0.79,51.0,59.79
0.80,51.0,59.79
0.81,51.0,59.79
0.82,51.0,59.79
0.83,51.0,59.79
0.84,51.0,59.79
0.85,51.0,59.79
0.86,51.0,59.79
0.87,51.0,59.79
0.88,51.0,59.79
0.89,51.0,59.79
0.90,51.0,59.79
0.91,51.0,59.79
0.92,51.0,59.79
0.93,51.0,59.79
0.94,51.0,59.79
0.95,51.0,59.79
0.96,51.0,59.79
0.97,51.0,59.79
0.98,51.0,59.79
0.99,51.0,59.79
1.00,51.0,59.79
